n_i,x_i,n_j,x_j,y_i,dZ
20.0,0.9221521718293691,12.0,0.9038815500876104,0.018270621741758752,0.017822209888449625
16.0,0.9221521718293691,11.0,0.9194735450258402,0.0026786268035289273,-0.0010219629687632237
20.0,0.9226189744327218,13.0,0.920985703098962,0.0016332713337597893,-0.002104159931175187
14.0,0.923378492417908,12.0,0.9222862823345234,0.0010922100833846704,-0.0024004147078405813
6.0,0.9236029892484936,6.0,0.922862701071505,0.0007402881769885683,-0.002381120291223615
19.0,0.7271954823367727,5.0,0.6923879393336273,0.03480754300314537,0.03790053599401111
18.0,0.7302660660598616,2.0,0.7125535074704017,0.01771255858945986,0.019592245269685837
20.0,0.7302660660598616,8.0,0.7163484068607547,0.013917659199106813,0.015623984811604985
23.0,0.7312391847918953,5.0,0.7182276121603876,0.013011572631507762,0.016316970087429716
22.0,0.7312391847918953,15.0,0.7341935018174205,-0.002954317025525177,-0.0013926068899560162
21.0,0.7324667744900516,29.0,0.7391793699619014,-0.006712595471849769,-0.004619492669223346
29.0,0.7385348624903642,29.0,0.744283429683227,-0.0057485671928628745,-0.004069269158083033
15.0,0.7478762315930869,12.0,0.7470515011845472,0.0008247304085396978,0.0009227267488627344
31.0,0.6455881328783342,5.0,0.9788982519674072,-0.33331011908907304,-0.5066576393590612
35.0,0.9826589595375722,4.0,0.9935928685841632,-0.010933909046590973,-0.07176709546377802
35.0,0.9907375165401492,1.0,0.995403579636465,-0.004666063096315787,-0.02956443240803419
27.0,0.9931053694546974,3.0,0.9960303642314924,-0.0029249947767949758,-0.018957345971563844
20.0,0.9942892959119716,0.0,0.9960303642314924,-0.001741068319520811,-0.014895057549086044
26.0,0.99498572323978,7.0,0.9967964342920816,-0.0018107110523016834,-0.014443692168810585
